Microrganismo,Frequência (Hz),Tempo (s),Data de alteração
Adenovírus,4412,180,
Adenovírus,3176,180,
Adenovírus,2489,180,
Ancylostoma duodenale,5000,600,
Ascaris lumbricoides,1594,600,
Candida Glabrata,3176,600,
Candida Glabrata,2642,600,
Candida Glabrata,1403,600,
Candida Glabrata,3176,600,
Candida Glabrata,2642,600,
Candida Glabrata,1403,600,
Candida Krusei,3176,180,
Candida Krusei,2644,180,
Candida Krusei,1403,180,
Candida Krusei,1151,180,
Candida Krusei,943,180,
Candida Krusei,886,180,
Candida Krusei,877,180,
Candida Krusei,866,180,
Candida Krusei,762,180,
Candida Krusei,742,180,
Candida Krusei,661,180,
Candida Krusei,465,180,
Candida Krusei,464,180,
Candida Krusei,450,180,
Candida Krusei,414,180,
Candida Krusei,412,180,
Candida Krusei,386,180,
Candida Krusei,381,180,
Candida Krusei,254.2,180,
Candida Krusei,120,180,
Candida Krusei,95,180,
Candida Krusei,64,180,
Candida Krusei,20,180,
Candida Krusei,880,180,
Candida Krusei,95,180,
Candida Krusei,125,180,
Candida Krusei,20,180,
Candida Krusei,60,180,
Candida Krusei,225,180,
Candida Krusei,427,180,
Candida Krusei,240,180,
Candida Krusei,650,180,
Candida Krusei,688,180,
Candida Krusei,152,180,
Candida Krusei,442,180,
Candida Krusei,8146,180,
Candida Krusei,751,180,
Candida Krusei,1146,180,
Candida Krusei,1403,180,
Candida Krusei,675,180,
Candida Krusei,709,180,
Candida Krusei,10000,180,
Candida Krusei,5000,180,
Candida Krusei,3176,180,
Candida Krusei,2489,180,
Candida Krusei,1395,180,
Candida Krusei,1276,180,
Candida Krusei,1160,180,
Candida Krusei,1044,180,
Candida Krusei,928,180,
Candida Krusei,877,180,
Candida Krusei,812,180,
Candida Krusei,728,180,
Candida Krusei,696,180,
Candida Krusei,580,180,
Candida Krusei,465,180,
Candida Krusei,464,180,
Candida Krusei,381,180,
Candida Krusei,348,180,
Candida Krusei,232,180,
Candida Krusei,116,180,
Candida Krusei,58,180,
Candida Krusei,20,180,
Candida Krusei,1403,180,
Candida Krusei,675,180,
Candida Krusei,709,180,
Candida Krusei,2167,180,
Candida Krusei,2128,180,
Candida Krusei,2182,180,
Candida Krusei,465,180,
Candida Krusei,20,180,
Candida Krusei,60,180,
Candida Krusei,95,180,
Candida Krusei,125,180,
Candida Krusei,225,180,
Candida Krusei,427,180,
Candida Krusei,464,180,
Candida Krusei,727,180,
Candida Krusei,19217,180,
Candida Krusei,81,180,
Candida Krusei,956,180,
Candida Krusei,80,180,
Candida Krusei,2167,180,
Candida Krusei,2128,180,
Candida Krusei,2182,180,
Candida Krusei,465,180,
Candida Krusei,72,180,
Candida Krusei,422,180,
Candida Krusei,582,180,
Candida Krusei,727,180,
Candida Krusei,787,180,
Candida Krusei,802,180,
Candida Krusei,1016,180,
Candida Krusei,1134,180,
Candida Krusei,1153,180,
Candida Krusei,1550,180,
Candida Krusei,2222,180,
Candida Krusei,412,180,
Candida Krusei,543,180,
Candida Krusei,2128,180,
Clostridium perfringens,5000,600,
Cryptococcus neoformans,367,180,
Cryptococcus neoformans,428,180,
Cryptococcus neoformans,444,180,
Cryptococcus neoformans,476,180,
Cryptococcus neoformans,478,180,
Cryptococcus neoformans,522,180,
Cryptococcus neoformans,579,180,
Cryptococcus neoformans,594,180,
Cryptococcus neoformans,785,180,
Cryptococcus neoformans,792,180,
Cryptococcus neoformans,872,180,
Cryptococcus neoformans,2121,180,
Cryptococcus neoformans,5880,180,
Cryptococcus neoformans,5884,180,
Cryptococcus neoformans,597,180,
Cryptococcus neoformans,613,180,
Cryptococcus neoformans,624,180,
Enterobius vermicularis,1652,600,
Escherichia coli,7849,180,
Escherichia coli,7847,180,
Escherichia coli,1730,180,
Escherichia coli,1722,180,
Escherichia coli,1552,180,
Escherichia coli,1550,180,
Escherichia coli,1320,180,
Escherichia coli,1244,180,
Escherichia coli,1000,180,
Escherichia coli,957,180,
Escherichia coli,934,180,
Escherichia coli,856,180,
Escherichia coli,840,180,
Escherichia coli,832,180,
Escherichia coli,804,180,
Escherichia coli,802,180,
Escherichia coli,800,180,
Escherichia coli,799,180,
Escherichia coli,776,180,
Escherichia coli,642,180,
Escherichia coli,634,180,
Escherichia coli,556,180,
Escherichia coli,548,180,
Escherichia coli,413,180,
Escherichia coli,333,180,
Escherichia coli,330,180,
Escherichia coli,327,180,
Escherichia coli,289,180,
Escherichia coli,282,180,
Herpes simplex,1141,600,
Herpes simplex,1350,600,
Klebsiella pneumoniae,7660,180,
Klebsiella pneumoniae,7344,180,
Klebsiella pneumoniae,5000,180,
Klebsiella pneumoniae,3702,180,
Klebsiella pneumoniae,3672,180,
Klebsiella pneumoniae,2688,180,
Klebsiella pneumoniae,1862,180,
Klebsiella pneumoniae,1550,180,
Klebsiella pneumoniae,1238,180,
Klebsiella pneumoniae,1234,180,
Klebsiella pneumoniae,1200,180,
Klebsiella pneumoniae,975,180,
Klebsiella pneumoniae,880,180,
Klebsiella pneumoniae,802,180,
Klebsiella pneumoniae,787,180,
Klebsiella pneumoniae,780,180,
Klebsiella pneumoniae,778,180,
Klebsiella pneumoniae,776,180,
Klebsiella pneumoniae,774,180,
Klebsiella pneumoniae,772,180,
Klebsiella pneumoniae,770,180,
Klebsiella pneumoniae,768,180,
Klebsiella pneumoniae,766,180,
Klebsiella pneumoniae,727,180,
Klebsiella pneumoniae,688,180,
Klebsiella pneumoniae,683,180,
Klebsiella pneumoniae,660,180,
Klebsiella pneumoniae,450,180,
Klebsiella pneumoniae,412,180,
Klebsiella pneumoniae,352,180,
Klebsiella pneumoniae,20,180,
Klebsiella pneumoniae,840,180,
Klebsiella pneumoniae,818,180,
Klebsiella pneumoniae,783,180,
Klebsiella pneumoniae,779,180,
Klebsiella pneumoniae,776,180,
Klebsiella pneumoniae,766,180,
Klebsiella pneumoniae,765,180,
Klebsiella pneumoniae,746,180,
Klebsiella pneumoniae,413,180,
Klebsiella pneumoniae,412,180,
Klebsiella pneumoniae,19964,180,
Klebsiella pneumoniae,61,180,
Klebsiella pneumoniae,20860,180,
Klebsiella pneumoniae,78,180,
Klebsiella pneumoniae,1038,180,
Klebsiella pneumoniae,60,180,
Klebsiella pneumoniae,993,180,
Klebsiella pneumoniae,98,180,
Klebsiella pneumoniae,217,180,
Klebsiella pneumoniae,220,180,
Klebsiella pneumoniae,221,180,
Klebsiella pneumoniae,686,180,
Klebsiella pneumoniae,1132,180,
Klebsiella pneumoniae,1644,180,
Klebsiella pneumoniae,2313,180,
Klebsiella pneumoniae,6516,180,
Klebsiella pneumoniae,729,180,
Klebsiella pneumoniae,748,180,
Giardia Lamblia,5000,600,
Leishmania mexicana,787,180,
Leishmania mexicana,525,180,
Leishmania mexicana,781,180,
Leishmania mexicana,791,180,
Leishmania mexicana,20064.19,180,
Leishmania mexicana,998.94,180,
Leishmania mexicana,19914.83,180,
Leishmania mexicana,991.5,180,
Leishmania mexicana,20014.4,180,
Leishmania mexicana,996.46,180,
Leishmania mexicana,20163.76,180,
Leishmania mexicana,1003.89,180,
Papilomavírus,45,180,
Papilomavírus,489,180,
Papilomavírus,874,180,
Papilomavírus,907,180,
Papilomavírus,16970,180,
Papilomavírus,265,180,
Papilomavírus,5657,180,
Papilomavírus,3203,180,
Papilomavírus,1011,180,
Papilomavírus,9258,180,
Papilomavírus,3083,180,
Papilomavírus,1051,180,
Papilomavírus,9609,180,
Papilomavírus,466,180,
Papilomavírus,110,180,
Papilomavírus,767,180,
Papilomavírus,404,180,
Salmonella spp.,1387,600,
Salmonella spp.,1508,600,
Salmonella spp.,1523,600,
Shigella Sonnei,1242,600,
Vírus sincicial respiratório (VSR),333,180,
Vírus sincicial respiratório (VSR),523,180,
Vírus sincicial respiratório (VSR),666,180,
Vírus sincicial respiratório (VSR),786,180,
Vírus sincicial respiratório (VSR),768,180,
Vírus sincicial respiratório (VSR),959,180,
Vírus sincicial respiratório (VSR),962,180,
Vírus sincicial respiratório (VSR),10000,180,
Vírus sincicial respiratório (VSR),7767,180,
Vírus sincicial respiratório (VSR),7762,180,
Vírus sincicial respiratório (VSR),7702,180,
Vírus sincicial respiratório (VSR),7009,180,
Vírus sincicial respiratório (VSR),7001,180,
Vírus sincicial respiratório (VSR),6989,180,
Vírus sincicial respiratório (VSR),5000,180,
Vírus sincicial respiratório (VSR),4868,180,
Vírus sincicial respiratório (VSR),2720,180,
Vírus sincicial respiratório (VSR),2050,180,
Vírus sincicial respiratório (VSR),1500,180,
Vírus sincicial respiratório (VSR),1395,180,
Vírus sincicial respiratório (VSR),1062,180,
Vírus sincicial respiratório (VSR),1060,180,
Vírus sincicial respiratório (VSR),1034,180,
Vírus sincicial respiratório (VSR),1009,180,
Vírus sincicial respiratório (VSR),969,180,
Vírus sincicial respiratório (VSR),968,180,
Vírus sincicial respiratório (VSR),962,180,
Vírus sincicial respiratório (VSR),959,180,
Vírus sincicial respiratório (VSR),960,180,
Vírus sincicial respiratório (VSR),952,180,
Vírus sincicial respiratório (VSR),951,180,
Vírus sincicial respiratório (VSR),942,180,
Vírus sincicial respiratório (VSR),880,180,
Vírus sincicial respiratório (VSR),1550,180,
Vírus sincicial respiratório (VSR),802,180,
Vírus sincicial respiratório (VSR),787,180,
Vírus sincicial respiratório (VSR),768,180,
Vírus sincicial respiratório (VSR),728,180,
Vírus sincicial respiratório (VSR),690,180,
Vírus sincicial respiratório (VSR),660,180,
Vírus sincicial respiratório (VSR),555,180,
Vírus sincicial respiratório (VSR),523,180,
Vírus sincicial respiratório (VSR),522,180,
Vírus sincicial respiratório (VSR),1865,180,
Vírus sincicial respiratório (VSR),444,180,
Vírus sincicial respiratório (VSR),333,180,
Vírus sincicial respiratório (VSR),300,180,
Vírus sincicial respiratório (VSR),180,180,
Vírus sincicial respiratório (VSR),160,180,
Vírus sincicial respiratório (VSR),125,180,
Vírus sincicial respiratório (VSR),95,180,
Vírus sincicial respiratório (VSR),72,180,
Vírus sincicial respiratório (VSR),60,180,
Vírus sincicial respiratório (VSR),48,180,
Vírus sincicial respiratório (VSR),26,180,
Vírus sincicial respiratório (VSR),20,180,
Vírus sincicial respiratório (VSR),28729.05,180,
Vírus sincicial respiratório (VSR),16628.88,180,
Vírus sincicial respiratório (VSR),18471,180,
Vírus sincicial respiratório (VSR),18670.15,180,
Vírus sincicial respiratório (VSR),19566.32,180,
Vírus sincicial respiratório (VSR),1407.93,180,
Vírus sincicial respiratório (VSR),827.9,180,
Vírus sincicial respiratório (VSR),919.62,180,
Vírus sincicial respiratório (VSR),929.53,180,
Vírus sincicial respiratório (VSR),974.15,180,
Vírus sincicial respiratório (VSR),2900,180,
Vírus sincicial respiratório (VSR),864,180,
Vírus sincicial respiratório (VSR),790,180,
Vírus sincicial respiratório (VSR),690,180,
Vírus sincicial respiratório (VSR),610,180,
Vírus sincicial respiratório (VSR),470,180,
Vírus sincicial respiratório (VSR),484,180,
Vírus sincicial respiratório (VSR),986,180,
Vírus sincicial respiratório (VSR),644,180,
Vírus sincicial respiratório (VSR),254,180,
Vírus sincicial respiratório (VSR),5000,180,
Vírus sincicial respiratório (VSR),3636,180,
Vírus sincicial respiratório (VSR),2632,180,
Vírus sincicial respiratório (VSR),1850,180,
Vírus sincicial respiratório (VSR),1500,180,
Vírus sincicial respiratório (VSR),1488,180,
Vírus sincicial respiratório (VSR),1422,180,
Vírus sincicial respiratório (VSR),1189,180,
Vírus sincicial respiratório (VSR),1044,180,
Vírus sincicial respiratório (VSR),922,180,
Vírus sincicial respiratório (VSR),868,180,
Vírus sincicial respiratório (VSR),845,180,
Vírus sincicial respiratório (VSR),822,180,
Vírus sincicial respiratório (VSR),788,180,
Vírus sincicial respiratório (VSR),776,180,
Vírus sincicial respiratório (VSR),766,180,
Vírus sincicial respiratório (VSR),742,180,
Vírus sincicial respiratório (VSR),733,180,
Vírus sincicial respiratório (VSR),721,180,
Vírus sincicial respiratório (VSR),676,180,
Vírus sincicial respiratório (VSR),654,180,
Vírus sincicial respiratório (VSR),625,180,
Vírus sincicial respiratório (VSR),620,180,
Vírus sincicial respiratório (VSR),607,180,
Staphylococcus aureus,424,180,
Staphylococcus aureus,727,180,
Staphylococcus aureus,786,180,
Staphylococcus aureus,943,180,
Staphylococcus aureus,1050,180,
Streptococcus agalactiae,1504,600,
Streptococcus mitis,563,180,
Streptococcus mitis,611,180,
Streptococcus mitis,727,180,
Streptococcus lactis,1504,600,
Streptococcus mitis,1242,600,
Streptococcus pneumoniae,1437,600,
Chikungunya,5000,600,
Chikungunya,145,600,
Chikungunya,267,300,
Chikungunya,587,300,
Chikungunya,142,600,
Actinomyces Israelii,2720,180,
Actinomyces Israelii,2489,180,
Actinomyces Israelii,1800,180,
Actinomyces Israelii,1600,180,
Actinomyces Israelii,1550,180,
Actinomyces Israelii,802,180,
Actinomyces Israelii,885,180,
Actinomyces Israelii,880,180,
Actinomyces Israelii,875,180,
Actinomyces Israelii,787,180,
Actinomyces Israelii,776,180,
Actinomyces Israelii,727,180,
Actinomyces Israelii,46.5,180,
Actinomyces Israelii,766,180,
Chikungunya,5000,600,
Chikungunya,145,600,
Chikungunya,267,300,
Chikungunya,587,300,
Chikungunya,142,600,
Candida Parapsilosis,3176,180,
Candida Parapsilosis,2644,180,
Candida Parapsilosis,1403,180,
Candida Parapsilosis,1151,180,
Candida Parapsilosis,943,180,
Candida Parapsilosis,886,180,
Candida Parapsilosis,877,180,
Candida Parapsilosis,866,180,
Candida Parapsilosis,762,180,
Candida Parapsilosis,742,180,
Candida Parapsilosis,661,180,
Candida Parapsilosis,465,180,
Candida Parapsilosis,464,180,
Candida Parapsilosis,450,180,
Candida Parapsilosis,414,180,
Candida Parapsilosis,412,180,
Candida Parapsilosis,386,180,
Candida Parapsilosis,381,180,
Candida Parapsilosis,254.2,180,
Candida Parapsilosis,120,180,
Candida Parapsilosis,95,180,
Candida Parapsilosis,64,180,
Candida Parapsilosis,20,180,
Candida Parapsilosis,880,180,
Candida Parapsilosis,95,180,
Candida Parapsilosis,125,180,
Candida Parapsilosis,20,180,
Candida Parapsilosis,60,180,
Candida Parapsilosis,225,180,
Candida Parapsilosis,427,180,
Candida Parapsilosis,240,180,
Candida Parapsilosis,650,180,
Candida Parapsilosis,688,180,
Candida Parapsilosis,152,180,
Candida Parapsilosis,442,180,
Candida Parapsilosis,8146,180,
Candida Parapsilosis,751,180,
Candida Parapsilosis,1146,180,
Candida Parapsilosis,1403,180,
Candida Parapsilosis,675,180,
Candida Parapsilosis,709,180,
Candida Parapsilosis,10000,180,
Candida Parapsilosis,5000,180,
Candida Parapsilosis,3176,180,
Candida Parapsilosis,2489,180,
Candida Parapsilosis,1395,180,
Candida Parapsilosis,1276,180,
Candida Parapsilosis,1160,180,
Candida Parapsilosis,1044,180,
Candida Parapsilosis,928,180,
Candida Parapsilosis,877,180,
Candida Parapsilosis,812,180,
Candida Parapsilosis,728,180,
Candida Parapsilosis,696,180,
Candida Parapsilosis,580,180,
Candida Parapsilosis,465,180,
Candida Parapsilosis,464,180,
Candida Parapsilosis,381,180,
Candida Parapsilosis,348,180,
Candida Parapsilosis,232,180,
Candida Parapsilosis,116,180,
Candida Parapsilosis,58,180,
Candida Parapsilosis,20,180,
Candida Parapsilosis,1403,180,
Candida Parapsilosis,675,180,
Candida Parapsilosis,709,180,
Candida Parapsilosis,2167,180,
Candida Parapsilosis,2128,180,
Candida Parapsilosis,2182,180,
Candida Parapsilosis,465,180,
Candida Parapsilosis,20,180,
Candida Parapsilosis,60,180,
Candida Parapsilosis,95,180,
Candida Parapsilosis,125,180,
Candida Parapsilosis,225,180,
Candida Parapsilosis,427,180,
Candida Parapsilosis,464,180,
Candida Parapsilosis,727,180,
Candida Parapsilosis,19217,180,
Candida Parapsilosis,81,180,
Candida Parapsilosis,956,180,
Candida Parapsilosis,80,180,
Candida Parapsilosis,2167,180,
Candida Parapsilosis,2128,180,
Candida Parapsilosis,2182,180,
Candida Parapsilosis,465,180,
Candida Parapsilosis,72,180,
Candida Parapsilosis,422,180,
Candida Parapsilosis,582,180,
Candida Parapsilosis,727,180,
Candida Parapsilosis,787,180,
Candida Parapsilosis,802,180,
Candida Parapsilosis,1016,180,
Candida Parapsilosis,1134,180,
Candida Parapsilosis,1153,180,
Candida Parapsilosis,1550,180,
Candida Parapsilosis,2222,180,
Candida Parapsilosis,412,180,
Candida Parapsilosis,543,180,
Candida Parapsilosis,2128,180,
Chlamydia trachomatis,1488,600,
Gardnerella vaginalis,1328.6,nan,
Clostridium difficile,1422,600,
Fasciola Hepática,1668,600,
Fasciola Hepática,1668,600,
Fasciola Hepática,1668,600,
Fasciola Hepática,1660,600,
Fasciolopsis Buskii Eggs,5000,600,
Hepatite C,28,180,
Hepatite C,1550,180,
Hepatite C,1351,180,
Hepatite C,880,180,
Hepatite C,802,180,
Hepatite C,727,180,
Hepatite C,224,180,
Hepatite C,317,180,
Hepatite C,329,180,
Hepatite C,477,180,
Hepatite C,922,180,
Hepatite B,28,180,
Hepatite B,1550,180,
Hepatite B,1351,180,
Hepatite B,880,180,
Hepatite B,802,180,
Hepatite B,727,180,
Hepatite B,224,180,
Hepatite B,317,180,
Hepatite B,329,180,
Hepatite B,477,180,
Hepatite B,922,180,
Entamoeba coli,5000,600,
Staphylococcus haemolyticus,424,180,
Staphylococcus haemolyticus,727,180,
Staphylococcus haemolyticus,786,180,
Staphylococcus haemolyticus,943,180,
Staphylococcus haemolyticus,1050,180,
Staphylococcus epidermidis,1242,600,
Clostridium tetani,5000,600,
Clostridium tetani,5000,600,
Trichomonas vaginalis,1488,600,
Influenza,16728,180,
Influenza,45,180,
Influenza,832,180,
Influenza,86,180,
Influenza,10000,180,
Influenza,880,180,
Influenza,727,180,
Influenza,330,180,
Influenza,728,180,
Influenza,768,180,
Influenza,574,180,
Influenza,207,180,
Influenza,254,180,
Influenza,580,180,
Influenza,582,180,
Influenza,584,180,
Influenza,586,180,
Influenza,588,180,
Influenza,848,180,
Influenza,947,180,
Influenza,7967,180,
Influenza,8910,180,
Influenza,739,180,
Influenza,741,180,
Influenza,760,180,
Influenza,765,180,
Influenza,773,180,
Influenza,915,180,
Influenza,337,180,
Influenza,690,180,
Influenza,868,180,
Influenza,869,180,
Influenza,702,180,
Influenza,727,180,
Influenza,729,180,
Influenza,776,180,
Influenza,779,180,
Influenza,440,180,
Influenza,465,180,
Influenza,613,180,
Influenza,666,180,
Influenza,727,180,
Influenza,787,180,
Influenza,800,180,
Influenza,1000,180,
Influenza,5000,180,
Influenza,10000,180,
Influenza,7344,180,
Influenza,3672,180,
Influenza,1234,180,
Influenza,880,180,
Influenza,743,180,
Influenza,727,180,
Influenza,683,180,
Influenza,464,180,
Influenza,452,180,
Influenza,333,180,
Influenza,72,180,
Influenza,200,180,
Influenza,93.9,180,
Influenza,2720,180,
Influenza,2489,180,
Influenza,1800,180,
Influenza,1600,180,
Influenza,1550,180,
Influenza,885,180,
Influenza,875,180,
Influenza,832,180,
Influenza,802,180,
Influenza,787,180,
Influenza,776,180,
Influenza,766,180,
Influenza,1500,180,
Influenza,832,180,
Influenza,787,180,
Influenza,650,180,
Influenza,625,180,
Influenza,600,180,
Influenza,465,180,
Influenza,144,180,
Influenza,582,180,
Influenza,8911.25,180,
Influenza,9113.5,180,
Influenza,9141.5,180,
Influenza,9393.13,180,
Influenza,6654.69,180,
Influenza,7255,180,
Influenza,7284.06,180,
Influenza,8041.5,180,
Influenza,10334.06,180,
Influenza,10346.56,180,
Influenza,10976.38,180,
Influenza,7414.28,180,
Influenza,7631.09,180,
Influenza,7632.66,180,
Influenza,7667.38,180,
Influenza,7676.94,180,
Influenza,8045.81,180,
Influenza,8082.59,180,
Influenza,8305.19,180,
Mycoplasma genitalium,2900,180,
Mycoplasma genitalium,864,180,
Mycoplasma genitalium,790,180,
Mycoplasma genitalium,690,180,
Mycoplasma genitalium,610,180,
Mycoplasma genitalium,470,180,
Mycoplasma genitalium,484,180,
Mycoplasma genitalium,986,180,
Mycoplasma genitalium,644,180,
Mycoplasma genitalium,254,180,
Mycoplasma genitalium,250,180,
Mycoplasma genitalium,1.2,180,
Mycoplasma genitalium,650,180,
Mycoplasma genitalium,625,180,
Mycoplasma genitalium,600,180,
Mycoplasma genitalium,787,180,
Mycoplasma genitalium,727,180,
Mycoplasma genitalium,262,180,
Mycoplasma genitalium,776,180,
Mycoplasma genitalium,766,180,
Mycoplasma genitalium,10000,180,
Mycoplasma genitalium,5000,180,
Mycoplasma genitalium,2720,180,
Mycoplasma genitalium,1664,180,
Mycoplasma genitalium,1550,180,
Mycoplasma genitalium,1500,180,
Mycoplasma genitalium,962,180,
Mycoplasma genitalium,880,180,
Mycoplasma genitalium,802,180,
Mycoplasma genitalium,800,180,
Mycoplasma genitalium,787,180,
Mycoplasma genitalium,776,180,
Mycoplasma genitalium,766,180,
Mycoplasma genitalium,727,180,
Mycoplasma genitalium,688,180,
Mycoplasma genitalium,683,180,
Mycoplasma genitalium,650,180,
Mycoplasma genitalium,625,180,
Mycoplasma genitalium,600,180,
Mycoplasma genitalium,120,180,
Mycoplasma genitalium,20,180,
Mycoplasma genitalium,7344,180,
Mycoplasma genitalium,3702,180,
Mycoplasma genitalium,3672,180,
Mycoplasma genitalium,2720,180,
Mycoplasma genitalium,2170,180,
Mycoplasma genitalium,1800,180,
Mycoplasma genitalium,1600,180,
Mycoplasma genitalium,1500,180,
Mycoplasma genitalium,1283,180,
Mycoplasma genitalium,1234,180,
Mycoplasma genitalium,1233,180,
Mycoplasma genitalium,880,180,
Mycoplasma genitalium,787,180,
Mycoplasma genitalium,727,180,
Mycoplasma genitalium,522,180,
Mycoplasma genitalium,444,180,
Mycoplasma genitalium,146,180,
Mycoplasma genitalium,125,180,
Mycoplasma genitalium,95,180,
Mycoplasma genitalium,72,180,
Mycoplasma genitalium,20,180,
Mycoplasma genitalium,0,180,
Mycoplasma genitalium,5,180,
Mycoplasma genitalium,470,180,
Mycoplasma genitalium,693,180,
Mycoplasma genitalium,813,180,
Mycoplasma genitalium,1.1,180,
Mycoplasma genitalium,5000,180,
Mycoplasma genitalium,6000,180,
Mycoplasma genitalium,1131,180,
Mycoplasma genitalium,33,180,
Mycoplasma genitalium,2900,180,
Mycoplasma genitalium,878.2,180,
Mycoplasma genitalium,880.2,180,
Mycoplasma genitalium,864,180,
Mycoplasma genitalium,790,180,
Mycoplasma genitalium,706.7,180,
Mycoplasma genitalium,690,180,
Mycoplasma genitalium,610,180,
Mycoplasma genitalium,484,180,
Mycoplasma genitalium,986,180,
Mycoplasma genitalium,644,180,
Mycoplasma genitalium,254,180,
Mycoplasma genitalium,7344,180,
Mycoplasma genitalium,2950,180,
Mycoplasma genitalium,2842,180,
Mycoplasma genitalium,1147,180,
Mycoplasma genitalium,1113,180,
Mycoplasma genitalium,1067,180,
Mycoplasma genitalium,1062,180,
Mycoplasma genitalium,1045,180,
Mycoplasma genitalium,969.9,180,
Mycoplasma genitalium,880.2,180,
Mycoplasma genitalium,878.2,180,
Mycoplasma genitalium,865,180,
Mycoplasma genitalium,829.3,180,
Mycoplasma genitalium,800.4,180,
Mycoplasma genitalium,790,180,
Mycoplasma genitalium,783.6,180,
Candida Tropicalis,414.18,nan,
Proteus mirabilis,434,180,
Proteus mirabilis,594,180,
Proteus mirabilis,776,180,
Proteus mirabilis,16131.01,180,
Proteus mirabilis,803.12,180,
Proteus mirabilis,20562.06,180,
Proteus mirabilis,16728.45,180,
Proteus mirabilis,16330.16,180,
Proteus mirabilis,1023.72,180,
Proteus mirabilis,832.86,180,
Proteus mirabilis,813.03,180,
Staphylococcus saprophyticus,2720,180,
Staphylococcus saprophyticus,2170,180,
Staphylococcus saprophyticus,1865,180,
Staphylococcus saprophyticus,1550,180,
Staphylococcus saprophyticus,880,180,
Staphylococcus saprophyticus,802,180,
Staphylococcus saprophyticus,787,180,
Staphylococcus saprophyticus,727,180,
Staphylococcus saprophyticus,500,180,
Staphylococcus saprophyticus,444,180,
Staphylococcus saprophyticus,190,180,
Staphylococcus saprophyticus,1550,180,
Staphylococcus saprophyticus,1000,180,
Staphylococcus saprophyticus,880,180,
Staphylococcus saprophyticus,802,180,
Staphylococcus saprophyticus,787,180,
Staphylococcus saprophyticus,784,180,
Staphylococcus saprophyticus,770,180,
Staphylococcus saprophyticus,728,180,
Staphylococcus saprophyticus,727,180,
Staphylococcus saprophyticus,660,180,
Staphylococcus saprophyticus,465,180,
Staphylococcus saprophyticus,200,180,
Staphylococcus saprophyticus,116,180,
Staphylococcus saprophyticus,20,180,
Staphylococcus saprophyticus,8697,180,
Staphylococcus saprophyticus,7270,180,
Staphylococcus saprophyticus,1050,180,
Staphylococcus saprophyticus,999,180,
Staphylococcus saprophyticus,943,180,
Staphylococcus saprophyticus,824.4,180,
Staphylococcus saprophyticus,787,180,
Staphylococcus saprophyticus,784,180,
Staphylococcus saprophyticus,745,180,
Staphylococcus saprophyticus,738,180,
Staphylococcus saprophyticus,728,180,
Staphylococcus saprophyticus,727,180,
Staphylococcus saprophyticus,647,180,
Staphylococcus saprophyticus,644,180,
Staphylococcus saprophyticus,555,180,
Staphylococcus saprophyticus,478,180,
Staphylococcus saprophyticus,424,180,
Staphylococcus saprophyticus,18819.51,180,
Staphylococcus saprophyticus,936.97,180,
